category,PM2.5 1,PM2.5 2
2023-06-25T13:05:00.000Z,36.599998,37.400002
2023-06-25T13:06:00.000Z,37.599998,37.799999
2023-06-25T13:07:00.000Z,32.400002,33.799999
2023-06-25T13:08:00.000Z,33.599998,35.599998
2023-06-25T13:09:00.000Z,31.6,32.200001
2023-06-25T13:10:00.000Z,34,31
2023-06-25T13:11:00.000Z,36.599998,35.400002
2023-06-25T13:12:00.000Z,32.599998,32.799999
2023-06-25T13:13:00.000Z,32.599998,34.799999
2023-06-25T13:14:00.000Z,36.599998,34
2023-06-25T13:15:00.000Z,33.200001,35.400002
2023-06-25T13:16:00.000Z,34,35.400002
2023-06-25T13:17:00.000Z,35.599998,36.400002
2023-06-25T13:18:00.000Z,34,37
2023-06-25T13:19:00.000Z,40,38.400002
2023-06-25T13:20:00.000Z,40.599998,37.200001
2023-06-25T13:21:00.000Z,35.599998,38.599998
2023-06-25T13:22:00.000Z,39.400002,34.400002
2023-06-25T13:23:00.000Z,39.599998,42
2023-06-25T13:24:00.000Z,42.200001,42.599998
2023-06-25T13:25:00.000Z,38,38.599998
2023-06-25T13:26:00.000Z,37.200001,35
2023-06-25T13:27:00.000Z,38.799999,38.599998
2023-06-25T13:28:00.000Z,32.400002,30.200001
2023-06-25T13:29:00.000Z,37.200001,34.599998
2023-06-25T13:30:00.000Z,35,33.400002
2023-06-25T13:31:00.000Z,36,32
2023-06-25T13:32:00.000Z,36.400002,36
2023-06-25T13:33:00.000Z,33.799999,36.200001
2023-06-25T13:34:00.000Z,37.599998,39.200001
2023-06-25T13:35:00.000Z,37.799999,36.400002
2023-06-25T13:36:00.000Z,40.400002,35.799999
2023-06-25T13:37:00.000Z,36.200001,36
2023-06-25T13:38:00.000Z,37.200001,36.200001
2023-06-25T13:39:00.000Z,37.799999,35.799999
2023-06-25T13:40:00.000Z,34.200001,35.200001
2023-06-25T13:41:00.000Z,36.799999,35.799999
2023-06-25T13:42:00.000Z,41,36.200001
2023-06-25T13:43:00.000Z,38.799999,41
2023-06-25T13:44:00.000Z,39,40.400002
2023-06-25T13:45:00.000Z,41.400002,39.400002
