category,PM2.5 1,PM2.5 2
2023-06-25T05:01:00.000Z,6,5
2023-06-25T05:03:00.000Z,6,6
2023-06-25T05:05:00.000Z,6,6
2023-06-25T05:08:00.000Z,6,4
2023-06-25T05:10:00.000Z,6,5
2023-06-25T05:14:00.000Z,6,6
2023-06-25T05:16:00.000Z,6,5
2023-06-25T05:18:00.000Z,5,5
2023-06-25T05:20:00.000Z,7,7
2023-06-25T05:22:00.000Z,6,6
2023-06-25T05:24:00.000Z,7,7
2023-06-25T05:28:00.000Z,6,5
2023-06-25T05:30:00.000Z,7,7
2023-06-25T05:32:00.000Z,6,6
2023-06-25T05:34:00.000Z,6,5
2023-06-25T05:36:00.000Z,5,5
2023-06-25T05:38:00.000Z,6,6
2023-06-25T05:40:00.000Z,4,4
2023-06-25T05:41:00.000Z,5,5
2023-06-25T05:43:00.000Z,6,4
2023-06-25T05:47:00.000Z,6,4
2023-06-25T05:49:00.000Z,6,6
2023-06-25T05:51:00.000Z,7,6
2023-06-25T05:53:00.000Z,6,5
2023-06-25T05:57:00.000Z,7,6
2023-06-25T05:59:00.000Z,4,5
2023-06-25T06:01:00.000Z,5,5
2023-06-25T06:03:00.000Z,5,4
2023-06-25T06:05:00.000Z,6,5
2023-06-25T06:06:00.000Z,6,5
2023-06-25T06:08:00.000Z,5,4
2023-06-25T06:10:00.000Z,5,5
2023-06-25T06:12:00.000Z,5,5
2023-06-25T06:14:00.000Z,5,5
2023-06-25T06:16:00.000Z,4,4
2023-06-25T06:18:00.000Z,4,4
2023-06-25T06:20:00.000Z,4,4
2023-06-25T06:21:00.000Z,3,4
2023-06-25T06:23:00.000Z,5,4
2023-06-25T06:25:00.000Z,4,4
2023-06-25T06:27:00.000Z,3,3
2023-06-25T06:29:00.000Z,4,4
2023-06-25T06:31:00.000Z,3,5
2023-06-25T06:33:00.000Z,4,3
2023-06-25T06:35:00.000Z,5,4
2023-06-25T06:36:00.000Z,4,3
2023-06-25T06:38:00.000Z,4,3
2023-06-25T06:40:00.000Z,4,4
2023-06-25T06:42:00.000Z,3,5
2023-06-25T06:46:00.000Z,3,3
2023-06-25T06:48:00.000Z,5,4
2023-06-25T06:52:00.000Z,4,6
2023-06-25T06:54:00.000Z,6,6
2023-06-25T06:56:00.000Z,4,5
2023-06-25T06:58:00.000Z,4,5
2023-06-25T07:00:00.000Z,6,4
2023-06-25T07:02:00.000Z,5,5
2023-06-25T07:04:00.000Z,4,4
2023-06-25T07:06:00.000Z,5,6
2023-06-25T07:07:00.000Z,6,6
2023-06-25T07:09:00.000Z,6,4
2023-06-25T07:11:00.000Z,5,4
2023-06-25T07:13:00.000Z,5,6
2023-06-25T07:15:00.000Z,7,5
2023-06-25T07:17:00.000Z,7,5
2023-06-25T07:19:00.000Z,8,6
2023-06-25T07:21:00.000Z,5,4
2023-06-25T07:22:00.000Z,5,6
2023-06-25T07:26:00.000Z,5,6
2023-06-25T07:28:00.000Z,6,6
2023-06-25T07:30:00.000Z,6,7
2023-06-25T07:32:00.000Z,6,6
2023-06-25T07:34:00.000Z,7,5
2023-06-25T07:36:00.000Z,6,6
2023-06-25T07:38:00.000Z,8,6
2023-06-25T07:40:00.000Z,6,6
2023-06-25T07:42:00.000Z,6,6
2023-06-25T07:44:00.000Z,5,5
2023-06-25T07:46:00.000Z,6,6
2023-06-25T07:48:00.000Z,6,4
2023-06-25T07:49:00.000Z,6,6
2023-06-25T07:51:00.000Z,5,8
2023-06-25T07:53:00.000Z,5,6
2023-06-25T07:57:00.000Z,6,6
2023-06-25T07:59:00.000Z,6,4
2023-06-25T08:01:00.000Z,5,5
2023-06-25T08:05:00.000Z,5,6
2023-06-25T08:07:00.000Z,6,4
2023-06-25T08:09:00.000Z,6,7
2023-06-25T08:13:00.000Z,6,4
2023-06-25T08:15:00.000Z,5,3
2023-06-25T08:17:00.000Z,5,5
2023-06-25T08:19:00.000Z,5,4
2023-06-25T08:20:00.000Z,5,6
2023-06-25T08:22:00.000Z,6,6
2023-06-25T08:24:00.000Z,4,5
2023-06-25T08:26:00.000Z,5,4
2023-06-25T08:28:00.000Z,7,5
2023-06-25T08:30:00.000Z,5,7
2023-06-25T08:34:00.000Z,5,5
2023-06-25T08:36:00.000Z,6,3
2023-06-25T08:38:00.000Z,6,4
2023-06-25T08:40:00.000Z,5,5
2023-06-25T08:41:00.000Z,4,6
2023-06-25T08:43:00.000Z,7,5
2023-06-25T08:45:00.000Z,6,5
2023-06-25T08:47:00.000Z,6,4
2023-06-25T08:49:00.000Z,6,4
2023-06-25T08:51:00.000Z,5,6
2023-06-25T08:53:00.000Z,5,4
2023-06-25T08:57:00.000Z,4,6
2023-06-25T08:58:00.000Z,5,5
2023-06-25T09:00:00.000Z,6,6
2023-06-25T09:02:00.000Z,6,4
2023-06-25T09:04:00.000Z,5,6
2023-06-25T09:06:00.000Z,5,6
2023-06-25T09:08:00.000Z,7,8
2023-06-25T09:10:00.000Z,6,5
2023-06-25T09:12:00.000Z,6,7
2023-06-25T09:14:00.000Z,7,5
2023-06-25T09:16:00.000Z,7,6
2023-06-25T09:17:00.000Z,8,5
2023-06-25T09:21:00.000Z,6,6
2023-06-25T09:23:00.000Z,7,8
2023-06-25T09:25:00.000Z,6,6
2023-06-25T09:27:00.000Z,7,6
2023-06-25T09:29:00.000Z,5,8
2023-06-25T09:31:00.000Z,9,8
2023-06-25T09:33:00.000Z,9,6
2023-06-25T09:35:00.000Z,6,6
2023-06-25T09:37:00.000Z,6,7
2023-06-25T09:38:00.000Z,7,7
2023-06-25T09:43:00.000Z,6,6
2023-06-25T09:44:00.000Z,6,7
2023-06-25T09:46:00.000Z,7,7
2023-06-25T09:48:00.000Z,9,5
2023-06-25T09:50:00.000Z,8,8
